Review_ID,Review_Timestamp,Product_Rating,Review_Text,Review_Likes
R1775367,06/04/2023 00:47,0,"Poor quality, broke after a few uses.",101
R6792460,10/08/2023 06:21,5,Absolutely love it! Exceeded my expectations.,750
R0255778,28/11/2023 18:14,3,"It's okay, does the job but nothing special.",150
R9658932,06/04/2023 07:29,4,"Fantastic product, highly recommend.",824
R0871453,18/08/2023 21:32,5,"Works perfectly, couldn't be happier.",474
R0110957,14/01/2024 15:40,4,"Works perfectly, would buy again.",558
R2016495,02/08/2023 11:03,0,"Terrible customer service, not worth the hassle.",935
R4565193,25/01/2024 18:59,2,"Regret this purchase, expected much more.",577
R5969076,08/01/2024 03:14,3,"Satisfactory, but I had higher expectations.",842
R2500257,03/01/2024 03:28,4,"Great value for the price, very satisfied.",972
R9872322,15/12/2023 20:14,3,"Fairly good, but leaves room for improvement.",476
R8114171,02/04/2023 09:04,3,"Decent, but there are better options available.",991
R7605233,16/07/2023 18:10,0,"Poor quality, broke after a few uses.",765
R7605559,27/11/2023 04:36,2,"Terrible customer service, will not buy again.",943
R5456311,06/11/2023 06:29,1,"Very disappointed, would not recommend.",230
R9375175,21/11/2023 20:29,4,Absolutely love it! Exceeded my expectations.,794
R8251914,08/12/2023 20:06,0,Terrible products.,766
R8209784,27/03/2023 06:51,3,"It's okay, does the job but nothing special.",25
R1014076,27/12/2023 09:46,1,Disappointed.,425
R0830071,24/12/2023 02:16,3,had higher expectations for this HuaWei Phone.,255
R3335483,29/02/2024 09:02,0,Not worth the hassle.,445
R4434542,21/09/2023 09:05,5,Best Purchase ever ,220
R5796616,15/09/2023 21:22,3,There are better options available with same price.,453
R5515075,24/01/2024 20:48,0,"Poor quality, disappointing.",876
R7980731,07/03/2023 14:58,0,Regret every second after this purchase.,960
R5398651,10/07/2023 15:13,4,Absolutely love it! Exceeded my expectations.,68
R8745626,29/01/2024 13:27,5,"Great value for the price, very satisfied.",968
R4481364,09/08/2023 21:50,5,"Impressive performance, would buy again.",657
R2135811,22/10/2023 15:26,0,"Doesn't work as advertised, completely dissatisfied.",175
R1423389,05/07/2023 08:03,1,"One word to describe, POOR.",137
R1971474,07/06/2023 20:32,4,Good quality.,246
R6179713,04/01/2024 21:24,0,Never recommend it.,287
R0386294,22/09/2023 02:34,2,"Very disappointed, would not recommend.",369
R0274222,14/11/2023 17:58,2,Doesn't work as expected.,378
R8752150,28/11/2023 10:08,1,A lot to improve,317
R5967702,31/08/2023 23:38,5,No better options available.,576
R7237732,03/04/2023 16:37,2,"Regret this purchase, expected much more.",674
R2590564,06/03/2023 05:08,3,It is somehow disappointing ,751
R3176990,28/05/2023 02:15,4,"Impressed by its function, would buy again.",573
R2324392,29/12/2023 04:39,1,"Bad purchase, completely dissatisfied.",798
R9812193,14/03/2023 02:04,0,Waste of money.,202
R9431197,16/09/2023 07:58,5,"Fantastic product, highly recommend.",329
R6822025,06/10/2023 17:35,5,Works perfectly for me.,125
R8580972,26/06/2023 18:13,2,Malfunction shortly after purchase,566
R6010551,24/10/2023 02:11,1,"Regret this purchase, money could’ve been spent better.",682
R2229506,01/10/2023 20:59,5,Pleased by this purchase.,241
R3991661,13/06/2023 07:41,5,"Function flawless, perfect product",725
R1336148,24/03/2023 16:32,2,Utterly discontented,140
R8993597,21/10/2023 17:08,2,Cannot endorse this product,659
R5075433,28/12/2023 06:32,3,"Adequate, yet superior alternatives are available",844
R5075434,07/03/2023 07:19,5,Highly recommended. Review 1.,338
R5075435,10/03/2023 14:05,5,Could be better. Review 2.,467
R5075436,12/03/2023 04:18,5,Would buy again. Review 3.,956
R5075437,16/03/2023 06:49,1,Average quality. Review 4.,249
R5075438,17/03/2023 00:55,5,Great product. Review 5.,479
R5075439,18/03/2023 02:03,5,Would buy again. Review 6.,53
R5075440,20/03/2023 05:00,3,Could be better. Review 7.,436
R5075441,03/04/2023 03:31,5,Beyond expectations. Review 8.,108
R5075442,04/04/2023 08:37,0,Would buy again. Review 9.,57
R5075443,11/04/2023 00:52,4,Highly recommended. Review 10.,860
R5075444,13/04/2023 13:55,2,Average quality. Review 11.,249
R5075445,23/04/2023 13:10,0,Average quality. Review 12.,832
R5075446,25/04/2023 01:38,5,Beyond expectations. Review 13.,298
R5075447,26/04/2023 16:02,5,Could be better. Review 14.,508
R5075448,01/05/2023 23:58,1,Not durable. Review 15.,531
R5075449,02/05/2023 15:31,2,Could be better. Review 16.,627
R5075450,05/05/2023 09:15,1,Average quality. Review 17.,363
R5075451,10/05/2023 09:23,0,Not durable. Review 18.,995
R5075452,16/05/2023 01:02,3,Not durable. Review 19.,723
R5075453,18/05/2023 02:20,0,Excellent value. Review 20.,364
R5075454,02/06/2023 02:04,2,Great product. Review 21.,941
R5075455,03/06/2023 14:30,4,Would buy again. Review 22.,739
R5075456,10/06/2023 12:12,3,Not durable. Review 23.,531
R5075457,14/06/2023 03:24,5,Not durable. Review 24.,729
R5075458,18/06/2023 04:19,3,Average quality. Review 25.,498
R5075459,22/06/2023 18:37,4,Highly recommended. Review 26.,976
R5075460,07/07/2023 08:50,4,Average quality. Review 27.,770
R5075461,08/07/2023 03:38,2,Excellent value. Review 28.,837
R5075462,12/07/2023 08:35,4,Highly recommended. Review 29.,518
R5075463,14/07/2023 22:57,5,Not durable. Review 30.,104
